Table Name,Row Count
Wpm_ChemistPoolChangeApproval,0
Therapeutic_Segments_Master,0
CUSTOMER,861
Wpm_ChemistPoolChangeApprovalLog,80
CompDesignationException,0
SS_Employee_Product_Association2308,4566
tblIncentiveProcessSPOTeamTerritoryApproval,1663
Wpm_DeviationPolicyMiscellaneousActivity,0
tblIncentiveProcessSPOTeamTerritoryProduct,13382
SS_Employee_Product_Association18092013,4168
SUBCLASS,0
Wpm_WorkplanDetailChemist,559
SS_Employee_Product_Association_Log18092013,3992
tblIncentivePolicyDetailNew,56
Therapeutic_Segments_Detail,0
PRODUCTS_PRODUCT_RESIGNATION,0
ActivitySMSRecepient,0
Speciality,10
Wpm_ActivityDetailMiscellaneousActivityType,0
SS_Employee_Product_Association24102013,5856
tblIncentiveProcessSPOTeamTerritory,1663
FFE_TeamTrail,0
PRODUCT_RESIGNATION,0
DASStoreSep,7118
DAS1_InvestmentItem,0
tblTeamMaster,6
tblProvince,5
SS_Employee_Product_Association_Log24102013,5797
Forecast_Calculator,3
Wpm_ActivityMaster,0
SS_Employee_Product_Association_Log0811,5335
DAS1_DASDesignationException,2
TblProvinceCity,4
ss_TempInvoiceTest,4547607
DAS_DD_ProjMedicalHistory,0
ss_SalesTarget,63245
CUSTOMER_PRODUCT_RESIGNATION,0
Wpm_SMSActivityDetailMiscellaneousActivityType,0
SS_TempInvoice,6988561
Wpm_TerritoryMaster,15
TblIncentiveDisbursementMonth,0
tblIncentiveProcessSPOTeam,1213
DAS1_DASDesignations,13
tblAllowance,3
DAS_DD_ProjectStatus,16
ssSalesTarget,740796
SS_Product_Mapping_Distributor_Log,43014
FFE_ApprovalDesignationException_Marketing,0
Wpm_TerritoryDetail,491
tblDataCorrenttion1,73
ZONE_MASTER,3
tblTerritoryBricksDetailNewBackup,8
DAS1_DASMaster,0
SS_Employee_Product_Association01022014,10441
DAS_DD_Project,15
tblTerritorySPODetailNewBackup,11
ORDER_MASTER,22945
FFE_ApprovalPolicy_Marketing,1
SS_Employee_Product_Association_Log01022014,9177
DAS1_Ratings,5
tblIncentiveProcessSPOTeamBrandGroup,1663
OTHER_EXPENSES_TYPE,0
tblEmployeeType,2
tblTeamDetail,38
tblDoctorClass,3
darweshchecktemporary,22822
CompetitorBrands,290
ss_vw_SalesBacup,30
FFE_DesignationException_Marketing,6
