Table Name,Row Count
ApplicationManagement_AuditTrail,0
tblExceptionalUsers_AuditTrail,93
tblformslabelMappingDetail,18
UserFormRights_AuditTrail_2,839186
tblFormsLabelMappingMaster,81
MessageBroadCasterDetail_AuditTrail,396
Roles_AuditTrail,15
SecretQuestion_AuditTrail,49
tblActiveUserSession_AuditTrail,91
MessageBroadCaster_AuditTrail,373
tblUserMapping_AuditTrail,7653
UserDashboard_AuditTrail,2528
UserFormRights_AuditTrail,260304
UserSecurityRoles_AuditTrail,79
Groups_AuditTrail,128
ForgotPasswordEmail_AuditTrail,178
FormManagementAuditTrail,40795
FormMenuItemsAuditTrail,67182
GroupDashboardRights_AuditTrail,0
GroupFormRights_AuditTrail,3565
RoleRights_AuditTrail,34
UserApplicationRoles_AuditTrail,4219
ChangeSupervisedByBulk_AuditTrail,151
CompanyManagement_AuditTrail,377
PasswordPolicies_AuditTrail,76
tblChangePassword_AuditTrail,370
tblUserDetails_AuditTrail,2709
tblUTC,4
UserRights_AuditTrail,1843
Users_AuditTrail,193711
